sensor_1,153411411,15.1
sensor_2,153411572,15.2
sensor_3,153418123,15.3
sensor_4,150938434,15.4
sensor_1,153411411,15.1
sensor_2,153411572,15.4
sensor_3,153418123,15.1
sensor_4,150938434,15.5
sensor_1,153411411,15.7
sensor_2,153411572,15.8
sensor_3,153418123,15.3
sensor_4,150938434,15.0
sensor_1,153411489,15.7
sensor_1,153411490,15.7
sensor_1,153411411,15.1
sensor_2,153411572,15.2
sensor_3,153418123,15.3
sensor_4,150938434,15.4
sensor_1,153411411,15.1
sensor_2,153411572,15.4
sensor_3,153418123,15.1
sensor_4,150938434,15.5
sensor_1,153411411,15.7
sensor_2,153411572,15.8
sensor_3,153418123,15.3
sensor_4,150938434,15.0
sensor_1,153411489,15.7
sensor_1,153411490,15.7
sensor_3,153418123,15.1
sensor_4,150938434,15.5
